ID,Scheme,Source,Language,Comment,Sentiment
648,Digital India,Public Forum,en,My application for Digital India was rejected on a minor technicality.,Negative
649,UPI,Twitter,hi,UPI योजना की वजह से परिवार की आर्थिक स्थिति बेहतर हुई।,Positive
650,One Nation One Ration Card,News App,en,"The One Nation One Ration Card money never reached us, middlemen swallowed everything.",Negative
651,AMRUT,News App,en,"AMRUT is just a slogan, roads and ground reality remain the same.",Negative
652,PMGSY,Twitter,en,Mixed feedback about PMGSY from different people in our locality.,Neutral
653,Bharatmala,Twitter,hinglish,"Kuch logon ko Bharatmala se mila kuch ko nahi, mixed results hain.",Neutral
654,FAME,News App,en,"Garib insaan FAME ki itni paperwork kahan se laayega, practical nahi.",Negative
655,Vishwakarma Yojana,Twitter,en,"Vishwakarma Yojana was launched before elections, nothing changed after voting.",Negative
656,Beti Bachao Beti Padhao,Twitter,hi,"Beti Bachao Beti Padhao से हमें कोई फायदा नहीं हुआ, सिर्फ चक्कर लगाने पड़े।",Negative
657,One Nation One Ration Card,Twitter,en,Registration for One Nation One Ration Card requires documents that poor families cannot access.,Negative
658,e-NAM,News App,en,The officials handling e-NAM demand bribes before processing anything.,Negative
659,Vishwakarma Yojana,YouTube,en,"The Vishwakarma Yojana money never reached us, middlemen swallowed everything.",Negative
660,BharatNet,YouTube,en,Results from BharatNet are mixed depending heavily on which district you are in.,Neutral
661,PM eVIDYA,News App,hi,"PM eVIDYA में भ्रष्टाचार है, बिना रिश्वत के कुछ नहीं होता।",Negative
662,PM Kisan,News App,en,Heard about PM Kisan but have not applied for it yet personally.,Neutral
663,PMAY,Instagram,en,Hamara PMAY application reject ho gaya bina kisi reason ke.,Negative
664,BharatNet,Instagram,en,"BharatNet reached the poorest families in our district, excellent work.",Positive
665,Skill India,Public Forum,en,"Skill India was launched before elections, nothing changed after voting.",Negative
666,PM eVIDYA,YouTube,en,"Real impact on the ground from PM eVIDYA, not just announcements.",Positive
667,Swachh Bharat,Public Forum,hi,"Swachh Bharat का लाभ हमारे परिवार को सही में मिला, बहुत फायदा हुआ।",Positive
668,Fasal Bima,Twitter,en,Fasal Bima sounds great on paper but ground implementation is terrible.,Negative
669,Stand Up India,Twitter,en,Stand Up India sounds great on paper but ground implementation is terrible.,Negative
670,PM Garib Kalyan,News App,en,"Fantastic! Another PM Garib Kalyan promise, another disappointment. So consistent! 😒",Sarcasm
671,PM SVANidhi,YouTube,en,Mixed feedback about PM SVANidhi from different people in our locality.,Neutral
672,Swachh Bharat,Twitter,en,"The quality under Swachh Bharat was terrible, completely unusable.",Negative
673,One Nation One Ration Card,YouTube,en,Government should publish transparent data on actual One Nation One Ration Card impact.,Neutral
674,PM Suraksha Bima,Instagram,hi,"PM Suraksha Bima सिर्फ कागजों पर है, जमीन पर कुछ नहीं होता।",Negative
675,e-NAM,YouTube,en,"My family directly benefited from e-NAM, it made a real difference for us.",Positive
676,PM Suraksha Bima,Instagram,en,The enrollment process for PM Suraksha Bima was simple and staff were helpful.,Positive
677,FAME,YouTube,en,My neighbor's life changed after enrolling in FAME last year.,Positive
678,Solar Rooftop,Instagram,hi,हमारे ब्लॉक में Solar Rooftop का क्रियान्वयन बहुत अच्छे से हुआ।,Positive
679,AMRUT,Instagram,en,The officials handling AMRUT demand bribes before processing anything.,Negative
680,PM SVANidhi,Public Forum,en,"Yaar PM SVANidhi se humein real benefit mila, highly recommend karunga.",Positive
681,PM eVIDYA,YouTube,en,PM eVIDYA coverage is improving slowly but has a very long way to go.,Neutral
682,Saubhagya,Twitter,en,"Saubhagya has helped people with connections, not ordinary citizens.",Negative
683,Sukanya Samriddhi,News App,hi,"Sukanya Samriddhi का पोर्टल काम नहीं करता, रजिस्ट्रेशन हो ही नहीं पाई।",Negative
684,Smart Cities,YouTube,en,"Mujhe Smart Cities se genuine help mili is saal, thankful hun.",Positive
685,Bharatmala,YouTube,en,"Too early to judge Bharatmala, let us wait and see the actual outcomes.",Neutral
686,Jal Jeevan Mission,YouTube,hinglish,"Jal Jeevan Mission ka kuch jagah acha kaam hua hai, kuch jagah nahi hua.",Neutral
687,Skill India,News App,hi,Skill India से हमें वह मिला जिसकी हमें सालों से जरूरत थी।,Positive
688,One Nation One Ration Card,News App,en,One Nation One Ration Card gave us access to services we could never afford before.,Positive
689,UPI,Twitter,hinglish,Haan UPI bahut successful hai. Tabhi toh mere gaon mein iska naam bhi nahi suna. 😒,Sarcasm
690,Skill India,News App,hi,"Skill India का पोर्टल काम नहीं करता, रजिस्ट्रेशन हो ही नहीं पाई।",Negative
691,PM Suraksha Bima,News App,en,The PM Suraksha Bima policy is well designed but execution varies greatly by district.,Neutral
692,Digital India,YouTube,hinglish,"Teen saal ho gaye Digital India ke liye apply kiya, kuch nahi mila.",Negative
693,FAME,Public Forum,en,Both positive and negative experiences reported under FAME by different people.,Neutral
694,Vishwakarma Yojana,News App,en,Vishwakarma Yojana se gareeb logo ki life mein real change aaya hai.,Positive
695,PMAY,Public Forum,en,"Oh sure, PMAY DEFINITELY kaam karta hai. Sirf humara luck kharab hai! 🙄",Sarcasm
696,Atmanirbhar Bharat,YouTube,en,"Atmanirbhar Bharat portal crash karta rehta hai, registration ho hi nahi pati.",Negative
697,Poshan Abhiyaan,YouTube,en,"The Poshan Abhiyaan money never reached us, middlemen swallowed everything.",Negative
698,Beti Bachao Beti Padhao,YouTube,en,The Beti Bachao Beti Padhao initiative is working well in our panchayat area.,Positive
699,Startup India,YouTube,en,Heard about Startup India but have not applied for it yet personally.,Neutral
700,Mudra Yojana,News App,en,"Mudra Yojana awareness is zero in our area, nobody even knows it exists.",Negative
701,Ayushman Bharat,News App,en,"Rural areas are completely ignored under Ayushman Bharat, only cities benefit.",Negative
702,Jan Dhan Yojana,News App,en,I was skeptical about Jan Dhan Yojana but it genuinely helped my family this year.,Positive
703,Bharatmala,Instagram,en,"Fantastic! Another Bharatmala promise, another disappointment. So consistent! 😒",Sarcasm
704,Startup India,YouTube,en,Startup India exists in our area but I do not know anyone who actually got it.,Neutral
705,Fasal Bima,News App,en,Wow they announced Fasal Bima. Too bad nobody told the officials to implement it.,Sarcasm
706,Ayushman Bharat Digital Mission,Instagram,hi,हमारे ब्लॉक में Ayushman Bharat Digital Mission का क्रियान्वयन बहुत अच्छे से हुआ।,Positive
707,PMAY,Instagram,hinglish,"PMAY ka kuch jagah acha kaam hua hai, kuch jagah nahi hua.",Neutral
708,Ayushman Bharat Digital Mission,News App,hinglish,Ayushman Bharat Digital Mission sirf election ke time ka dikhawa hai bhai.,Negative
709,Solar Rooftop,YouTube,hi,Solar Rooftop के बारे में अभी पूरा आंकलन करना जल्दबाजी होगी।,Neutral
710,PM Jeevan Jyoti Bima,YouTube,en,PM Jeevan Jyoti Bima made a difference that we can see and feel every single day.,Positive
711,Make in India,News App,hi,"Make in India का लाभ हमारे परिवार को सही में मिला, बहुत फायदा हुआ।",Positive
712,Ujjwala Yojana,News App,en,"Ujjwala Yojana portal crash karta rehta hai, registration ho hi nahi pati.",Negative
713,Solar Rooftop,Twitter,hi,अरे वाह! Solar Rooftop इतनी अच्छी योजना और हमें पता भी नहीं था! बहुत शुक्रिया! 🙄,Sarcasm
714,Startup India,Twitter,hi,Startup India योजना से हमारे गाँव की जिंदगी बदल गई।,Positive
715,PM eVIDYA,YouTube,en,Our whole community saw positive change after PM eVIDYA was implemented here.,Positive
716,Atal Pension Yojana,Instagram,en,Hamara Atal Pension Yojana application reject ho gaya bina kisi reason ke.,Negative
717,Ujjwala Yojana,YouTube,en,Great job on Ujjwala Yojana! Three years later and still nothing changed. Amazing! 🙄,Sarcasm
718,Smart Cities,Instagram,en,"My family directly benefited from Smart Cities, it made a real difference for us.",Positive
719,Make in India,News App,hi,Make in India योजना की वजह से परिवार की आर्थिक स्थिति बेहतर हुई।,Positive
720,Solar Rooftop,News App,en,The Solar Rooftop scheme has genuinely transformed living conditions in rural India.,Positive
721,PM Garib Kalyan,News App,hi,हमारे ब्लॉक में PM Garib Kalyan का क्रियान्वयन बहुत अच्छे से हुआ।,Positive
722,Startup India,News App,en,Startup India se gareeb logo ki life mein real change aaya hai.,Positive
723,PM Suraksha Bima,News App,en,"PM Suraksha Bima is just a slogan, roads and ground reality remain the same.",Negative
724,BharatNet,Instagram,en,Thoda aur time lagega BharatNet ka full impact samajhne mein.,Neutral
725,PM Garib Kalyan,YouTube,hi,"PM Garib Kalyan का लाभ हमारे परिवार को सही में मिला, बहुत फायदा हुआ।",Positive
726,Solar Rooftop,YouTube,en,Solar Rooftop is one of the few government schemes that actually delivers on its promise.,Positive
727,PMAY,Twitter,en,People in my block are actually happy with how PMAY was executed.,Positive
728,Jal Jeevan Mission,Public Forum,en,Intentions theek lagte hain Jal Jeevan Mission mein par ground reality alag hai.,Neutral
729,Poshan Abhiyaan,Instagram,en,"Poshan Abhiyaan reached the poorest families in our district, excellent work.",Positive
730,Ujjwala Yojana,Twitter,en,"Mujhe Ujjwala Yojana se genuine help mili is saal, thankful hun.",Positive
731,Digital India,Twitter,en,Digital India has some good aspects but significant improvements are still needed.,Neutral
732,Atal Pension Yojana,News App,en,"Some districts did well with Atal Pension Yojana, others not at all unfortunately.",Neutral
733,Vishwakarma Yojana,YouTube,en,Intentions theek lagte hain Vishwakarma Yojana mein par ground reality alag hai.,Neutral
734,Beti Bachao Beti Padhao,News App,en,"Beti Bachao Beti Padhao reached the poorest families in our district, excellent work.",Positive
735,PM SVANidhi,News App,en,Thoda aur time lagega PM SVANidhi ka full impact samajhne mein.,Neutral
736,Swachh Bharat,YouTube,hinglish,"Swachh Bharat se real help nahi mili, sirf dhakke khane pade office mein.",Negative
737,FAME,Twitter,en,The enrollment process for FAME was simple and staff were helpful.,Positive
